code,description
21398-3,Mononuc Cells # Snv Manual
21399-1,Paper Mulberry IgE RAST Ql
21400-7,Red mulberry IgE RAST Ql
21401-5,MuV IgG Titr CSF IF
2140-2,ACTH Amn-mCnc
21402-3,MuV IgM Titr CSF IF
21403-1,Mushroom IgG RAST Ql
21404-9,Mustard IgG RAST Ql
21405-6,Mycobacterium DNA Bronch Ql NAA+probe
21406-4,M pneumo IgM Ser Ql
21407-2,Myelin IgA Titr Ser
21408-0,Myelin IgG Titr Ser
21409-8,Myelin IgM Titr Ser
2141-0,ACTH Plas-mCnc
21410-6,MAG IgM Titr Ser
21411-4,MAG IgM Ser-aCnc
21412-2,Myocardium Ab pattern Ser-Imp
21413-0,Arylsulfatase B Ur-cCnc
21414-8,N gonorrhoea DNA Cerv mucus Ql NAA+probe
21415-5,N gonorrhoea DNA Urth Ql NAA+probe
21416-3,N gonorrhoea DNA Ur Ql NAA+probe
21417-1,Neurokinin A SerPl-aCnc
21418-9,Neutrophil Ab Ser Ql
21419-7,ANCA Ab pattern Ser IF-Imp
21420-5,Nitrate Ur-mCnc
21421-3,Norketamine SerPl-mCnc
21422-1,Normetanephrine 24h Ur-mCnc
21423-9,ANA Titr Ser IF Rat Liv
21424-7,Nuclear IgG Ser Ql IF
21425-4,Nutmeg IgG RAST Ql
21426-2,Oat IgG RAST Ql
21427-0,Deprecated Oat IgE RAST Ql
2142-8,Cortis Sal-mCnc
21428-8,Olive IgE Qn
21429-6,Olive IgE RAST Ql
21430-4,Onion IgG RAST Ql
21431-2,Opiates Ur Ql Scn>2000 ng/mL
21432-0,Orange IgG RAST Ql
21433-8,Orange Tree IgE RAST Ql
21434-6,Oregano IgG RAST Ql
21435-3,Osteocalcin Bovine SerPl-mCnc
2143-6,Cortis SerPl-mCnc
21436-1,Ovary Ab Ser Ql IF
21437-9,Oxychlordane SerPl-mCnc
21438-7,Oyster IgG RAST Ql
21439-5,Papain IgE RAST Ql
21440-3,HPV I/H Risk DNA Cvx Ql Probe
21441-1,HPV Low Risk DNA Cvx Ql Probe
21442-9,HPIV Nose Cult
21443-7,Paraoxon Ur-mCnc
2144-4,Cortis Ur-mCnc
21444-5,Parsley IgG RAST Ql
21445-2,Pea IgG RAST Ql
21446-0,Peach IgG RAST Ql
21447-8,Peanut IgG RAST Ql
21448-6,Pear IgG RAST Ql
21449-4,Black Pepper IgG RAST Ql
21450-2,Cayenne IgG RAST Ql
2145-1,Cortis F SerPl-mCnc
21451-0,Chili Pepper IgG RAST Ql
21452-8,Green Pepper IgG RAST Ql
21453-6,Jalepeno Pepper IgE RAST Ql
21454-4,White Pepper IgG RAST Ql
21455-1,Deprecated Mint IgE RAST Ql
21456-9,Pheasant IgE RAST Ql
21457-7,Phorate Ur-mCnc
21458-5,Phosphate 24h Ur-mCnc
21459-3,Pickleweed IgE RAST Ql
21460-1,Walleye Pike IgE RAST Ql
21461-9,Lodgepol+Pond Pine IgE Qn
21462-7,Lodgepol+Pond Pine IgE RAST Ql
21463-5,Pineapple IgG RAST Ql
21464-3,uPA Tiss Ql
21465-0,P falciparum Ab Titr Ser IF
21466-8,P malariae Ab Titr Ser IF
21467-6,P ovale Ab Titr Ser IF
21468-4,P vivax Ab Titr Ser IF
2146-9,Deprecated Cortis F SerPl-mCnc
21469-2,Plum IgG RAST Ql
214-7,cycloSERINE Islt KB
21470-0,Pollock IgE RAST Ql
21471-8,Pomegranate IgE Qn
21472-6,Pomegranate IgE RAST Ql
21473-4,White Poplar IgE Qn
21474-2,White Poplar IgE RAST Ql
21475-9,Pork IgG RAST Ql
21476-7,Potassium 24h Ur-sCnc
2147-7,Cortis F 24h Ur-mRate
21477-5,Deprecated Potato IgE Qn
21478-3,Deprecated Potato IgE RAST Ql
21479-1,Potato IgG RAST Ql
21480-9,Propoxur Ur-mCnc
21481-7,Propranolol Gast-mCnc
21482-5,Prot 24h Ur-mCnc
21483-3,quiNIDine Peak SerPl-mCnc
21484-1,Mother's race
2148-5,Creatine SerPl-mCnc
21485-8,Radish IgG RAST Ql
21486-6,Rape Poln IgE RAST Ql
21487-4,Ribosomal P Ab CSF-aCnc
21488-2,Rice IgG RAST Ql
21489-0,Proteus OX19 Ab Titr Ser LA
21490-8,Proteus OX2 Ab Titr Ser LA
21491-6,Proteus OXK Ab Titr Ser LA
21492-4,R conorii IgG Titr Ser
2149-3,Creatine Ur-mCnc
21493-2,R conorii IgM Titr Ser
21494-0,Rick SF IgG Titr CSF IF
21495-7,Rick SF IgM Titr CSF IF
21496-5,Rick Typhus IgG Titr CSF IF
21497-3,Rick Typhus IgM Titr CSF IF
21498-1,O tsut IgG Titr Ser
21499-9,Orange roughy IgE RAST Ql
21500-4,MeV IgG Titr CSF IF
2150-1,Creatine 24h Ur-mRate
21501-2,MeV IgG Titr Ser IF
21502-0,MeV IgM Titr CSF IF
21503-8,MeV IgM Ser Ql
21504-6,Deprecated Rye IgG RAST Ql
21505-3,Rye IgG RAST Ql
21506-1,Safflower IgG RAST Ql
21507-9,Sage IgG RAST Ql
21508-7,Calif Sagbrsh IgE RAST Ql
21509-5,SLEV IgG Titr CSF IF
21510-3,SLEV IgM Titr CSF IF
21511-1,S paraty A H Ab Titr Ser Aggl
21512-9,S paraty A H Ab Titr Ser IF
21513-7,S paraty B H Ab Titr Ser Aggl
21514-5,S paraty B H Ab Titr Ser IF
21515-2,Annual Saltbush IgE RAST Ql
21516-0,Scallop IgG RAST Ql
21517-8,Schistosoma IgE RAST Ql
21518-6,ENA Scl70 IgG Ser Ql
2151-9,CK CSF-cCnc
21519-4,Sesame Seed IgG RAST Ql
21520-2,Shark IgE RAST Ql
21521-0,Shrimp IgG RAST Ql
21522-8,ENA SM+RNP IgG Ser-aCnc
21523-6,ENA SM IgG Ser Ql
21524-4,Red Snapper IgG RAST Ql
21525-1,Sodium 24h Ur-sCnc
21526-9,Sodium 24h Ur-mCnc
2152-7,CK BB SerPl Elph-cCnc
21527-7,Sodium 24h Ur-mRate
21528-5,Sole IgG RAST Ql
21529-3,Specimen vol 8h Ur
21530-1,Specimen vol 10h Ur
21531-9,Sperm Motile 1h p ejac NFr Smn
21532-7,Sperm Motile 2h p ejac NFr Smn
21533-5,Sperm Motile 3h p ejac NFr Smn
21534-3,Sperm Motile 4h p ejac NFr Smn
2153-5,CK Macro SerPl-cCnc
21535-0,Sperm Motile 6h p Ejac NFr Smn
21536-8,Acid sphingomyelinase Bld-cCnc
21537-6,Spinach IgG RAST Ql
21538-4,Blue Spruce IgE RAST Ql
21539-2,Summer Squash IgE RAST Ql
215-4,cycloSERINE Titr SBT
21540-0,Zucchini IgE RAST Ql
21541-8,Zucchini IgG RAST Ql
21542-6,Strawberry IgG RAST Ql
2154-3,CK MB SerPl Elph-cCnc
21543-4,Sugar Cane IgG RAST Ql
21544-2,Sulfamethoxazole IgE RAST Ql
21545-9,Sulfatide IgG Titr CSF
21546-7,Sulfatide IgM Titr CSF
21547-5,Sunflower Seed IgG RAST Ql
21548-3,Sweet potato IgG RAST Ql
21549-1,Deprecated Sweetgum IgE RAST Ql
2155-0,CK MM SerPl Elph-cCnc
21550-9,Synoviocytes Snv Ql Micro
21551-7,"t(15;17)(PML,RARA) Bld/T Ql"
21552-5,Mandarin IgG RAST Ql
21553-3,Tea IgG RAST Ql
21554-1,Terbufos Ur-mCnc
21555-8,Testost SHBG adj SerPl-mCnc
21556-6,THC Ur Ql Scn>20 ng/mL
21557-4,THC Ur Ql Scn>100 ng/mL
21558-2,Thallium 24h Ur-mCnc
21559-0,Theophylline Gast-mCnc
21560-8,T candidus Ab Ser Ql
21561-6,T sacchari Ab Ser Ql
21562-4,Thiocyanate/Creat Ur
21563-2,TPMT RBC-cCnc
21564-0,Thiosulfate SerPl-mCnc
21565-7,tiaGABine SerPl-mCnc
21566-5,TOLAZamide SerPl Ql
21567-3,TOLBUTamide SerPl Ql
2156-8,CK Amn-cCnc
21568-1,Tomato IgG RAST Ql
21569-9,T gondii IgG Titr CSF IF
21570-7,T gondii IgG Ser Ql Dye Test
21571-5,T gondii IgM Titr CSF IF
21572-3,CDT Asialo/Tf MFr SerPl
21573-1,CDT Disialo/Tf MFr SerPl
21574-9,CDT Monosialo/Tf MFr SerPl
21575-6,CDT Pentasialo/Tf MFr SerPl
2157-6,CK SerPl-cCnc
21576-4,CDT Tetrasialo/Tf MFr SerPl
21577-2,CDT Trisialo/Tf MFr SerPl
21578-0,Tree of Heaven IgE RAST Ql
21579-8,TCY Bld-mCnc
21580-6,Trimethobenzamide Spec-mCnc
21581-4,Trout IgG RAST Ql
21582-2,Tryptase SerPl-mCnc
21583-0,Turkey IgG RAST Ql
2158-4,CK/CK MB SerPl-cRto
21584-8,Turkey Feather IgE RAST Ql
21585-5,Uranium 24h Ur-mCnc
21586-3,Uranium 24h Ur-mRate
21587-1,Urate 24h Ur-mCnc
21588-9,Urobilinogen Stl-mCnt
21589-7,Barley+Wheat smut IgE RAST Ql
21590-5,Valproate Bnd MFr SerPl
21591-3,Vanilla IgG RAST Ql
2159-2,Creat Amn-mCnc
21592-1,VZV Ab Titr CSF
21594-7,VZV Ab Titr Ser
21595-4,VZV IgG Titr CSF IF
21596-2,VZV IgM Titr CSF IF
21597-0,VZV IgM Ser Ql
21598-8,VZV DNA CSF Ql NAA+probe
21599-6,Venison IgE RAST Ql
21-6,Amoxicillin+Clav Islt KB
2160-0,Creat SerPl-mCnc
21600-2,English Walnut IgE RAST Ql
21601-0,Watermelon IgG RAST Ql
21602-8,Wheat IgG RAST Ql
21603-6,Wheat Dust IgE Qn
21604-4,Wheat Dust IgE RAST Ql
21605-1,Whitefish IgG RAST Ql
21606-9,Xylose sp2 p chal SerPl-mCnc
21607-7,Baker's yeast IgG RAST Ql
21608-5,Brewer's yeast IgG RAST Ql
21609-3,Yogurt IgE RAST Ql
21610-1,Zinc 24h Ur-mCnc
21611-9,Age Time Patient Est
21612-7,Age - Reported
21613-5,C trach DNA Spec Ql NAA+probe
21614-3,CDKN2A Del Bld/T Ql
21615-0,CDKN2B gene Del Bld/T Ql
21616-8,Deprecated APC gene Mut Anal Bld/T
21617-6,APC p.I1307K Bld/T Ql
2161-8,Creat Ur-mCnc
21618-4,APC gene Mut Tested Bld/T
21619-2,APOE gene Mut Anl Bld/T
216-2,Demeclocycline Islt MLC
21620-0,STS gene Del Bld/T Ql
21622-6,ASPA p.E285A Bld/T Ql
21623-4,ASPA gene Mut Tested Bld/T
21624-2,ATM gene Mut Anl Bld/T
21625-9,ATM gene Mut Tested Bld/T
2162-6,Creat 24h Ur-mRate
21626-7,ATP7B gene Mut Anl Bld/T
21627-5,ATP7B c.2010_2016del Bld/T Ql
21628-3,ATP7B c.2337delC Bld/T Ql
21629-1,ATP7B c.2487insT Bld/T Ql
21630-9,ATP7B c.1711G>C Bld/T Ql
21631-7,ATP7B p.G1267R Bld/T Ql
21632-5,ATP7B p.H1070Q Bld/T Ql
21633-3,ATP7B p.H714Q Bld/T Ql
2163-4,Creat Cl 12h Ur+SerPl-vRate
21634-1,ATP7B p.N915S Bld/T Ql
21635-8,ATP7B p.R778L Bld/T Ql
21636-6,BRCA1 gene Mut Anl Bld/T
21637-4,BRCA1 c.185delAG Bld/T Ql
21638-2,BRCA1 c.5382insC Bld/T Ql
21639-0,BRCA1 gene Mut Tested Bld/T
21640-8,BRCA2 c.6174delT Bld/T Ql
21641-6,CACNA1S gene Mut Anl Bld/T
2164-2,Creat Cl 24h Ur+SerPl-vRate
21642-4,CACNA1S p.R1239G Bld/T Ql
21643-2,CACNA1S p.R1239h Bld/T Ql
21644-0,CACNA1S p.R528h Bld/T Ql
21645-7,CACNA1S gene Mut Tested Bld/T
21646-5,CBS gene Mut Anl Bld/T
21647-3,Deprecated CBS p.G307S Bld/T Ql
21648-1,Deprecated CBS p.I278T Bld/T Ql
21649-9,CBS gene Mut Tested Bld/T
21650-7,Deprecated CCR5 gene Mut Anal Bld/T
21651-5,CCR5 gene Mut Tested Bld/T
21652-3,CDH1 gene Mut Anl Bld/T
21653-1,CDH1 gene Mut Tested Bld/T
21654-9,CFTR Mut Anl Bld/T
21655-6,CFTR p.F508del Bld/T Ql
21656-4,CFTR Mut Tested Bld/T
21657-2,COL2A1 gene Mut Anl Bld/T
21658-0,COL2A1 gene Mut Tested Bld/T
2165-9,Cryofib Bld-mCnc
21659-8,CTNNB1 gene Mut Anl Bld/T
21660-6,CTNNB1 gene Mut Tested Bld/T
21661-4,CYP2D6 Del Bld/T
21662-2,CYP2D6 c.2637delA Bld/T Ql
21663-0,Deprecated CYP2D6 gene G-A NT1 X4 Bld/T
21664-8,CYP2D6 p.G169X Bld/T Ql
21665-5,EGFR gene Mut Anl Bld/T
21666-3,EGFR gene Mut Tested Bld/T
2166-7,Cryoglob Bld-mCnc
21667-1,F5 gene Mut Anl Bld/T
21668-9,F5 p.R506Q Bld/T Ql
21669-7,F5 gene Mut Tested Bld/T
21670-5,F7 gene Mut Anl Bld/T
21671-3,F7 gene Mut Tested Bld/T
21672-1,F8 gene Mut Anl Bld/T
21673-9,F8 gene Mut Tested Bld/T
21674-7,FGFR2 gene Mut Anl Bld/T
2167-5,Cryoglob SerPl Ql
21675-4,FGFR2 gene Mut Tested Bld/T
21676-2,FGFR3 gene Mut Anl Bld/T
21677-0,FGFR3 p.G375C Bld/T Ql
21678-8,FGFR3 p.G380R Bld/T Ql
21679-6,FGFR3 p.K650E Bld/T Ql
21680-4,G6PD gene Mut Anl Bld/T
21681-2,G6PD gene Mut Tested Bld/T
21682-0,Gau1 gene Mut Tested Bld/T
2168-3,Cryoglob SerPl-mCnc
21683-8,Gau2 gene Mut Tested Bld/T
21684-6,Gau3 gene Mut Tested Bld/T
21685-3,HADHB gene Mut Anl Bld/T
21686-1,HADHB gene Mut Tested Bld/T
21687-9,HBA1 gene Mut Anl Bld/T
21688-7,HBA1 gene Mut Tested Bld/T
21689-5,HBB gene Mut Anl Bld/T
21690-3,HBB p.E6V Bld/T Ql
2169-1,Vit B12 Cl 24h Ur+SerPl-vRate
21691-1,HBB gene Mut Tested Bld/T
21692-9,PRSS1 gene Mut Anl Bld/T
21693-7,HP gene Mut Tested Bld/T
21694-5,HFE gene Mut Anl Bld/T
21695-2,HFE p.C282Y Bld/T Ql
21696-0,HFE p.H63D Bld/T Ql
21697-8,HFE gene Mut Tested Bld/T
21698-6,HRAS gene Mut Anl Bld/T
21699-4,HRAS gene Mut Tested Bld/T
217-0,Demeclocycline Islt MIC
21700-0,KMS gene Mut Anl Bld/T
21701-8,KMS gene Mut Tested Bld/T
21702-6,KRAS gene Mut Anl Bld/T
21703-4,KRAS gene Mut Tested Bld/T
21704-2,MT-ATP6 gene Mut Anl Bld/T
21705-9,MT-ND4 m.11696G>A Bld/T Ql
21706-7,Deprecated MT-ND4 p.R304h Bld/T Ql
21707-5,MT-ND4 p.T109A Bld/T Ql
21708-3,Deprecated MT-ATP6 p.L156R Bld/T Ql
2170-9,Deprecated Cyanocobalamin.true Ser-mCnc
21709-1,MTHFR gene Mut Anl Bld/T
21710-9,Deprecated MTHFR p.A677V Bld/T Ql
21711-7,Deprecated MTHFR p.C677E Bld/T Ql
21712-5,MTHFR gene Mut Tested Bld/T
21713-3,MT-TK m.8344A>G Bld/T Ql
21714-1,MT-TL1 m.3243A>G Bld/T Ql
21715-8,MXI1 gene Mut Anl Bld/T
21716-6,NB gene Mut Anl Bld/T
2171-7,Vit B12 USB SerPl-mCnc
21717-4,NF1 gene Mut Anl Bld/T
21718-2,NF1 gene Mut Tested Bld/T
21719-0,NRAS gene Mut Anl Bld/T
21720-8,NRAS gene Mut Tested Bld/T
21721-6,OTC gene Mut Anl Bld/T
21722-4,OTC gene Mut Tested Bld/T
21723-2,SERPINA1 gene Mut Anl Bld/T
21724-0,SERPINA1 p.E264V Bld/T Ql
2172-5,Cystathionin SerPl Ql
21725-7,SERPINA1 p.E342K Bld/T Ql
21726-5,SERPINA1 gene Mut Tested Bld/T
21727-3,PMP22 gene Mut Anl Bld/T
21728-1,PMP22 gene Mut Tested Bld/T
21729-9,PSAP gene Mut Anl Bld/T
21730-7,PSAP gene Mut Tested Bld/T
21731-5,RB1 gene Mut Anl Bld/T
21732-3,RB1 gene Mut Tested Bld/T
2173-3,Cystathionin SerPl-mCnc
21733-1,RET gene Mut Anl Bld/T
21734-9,RET gene Mut Tested Bld/T
21735-6,SNCA gene Mut Anl Bld/T
21736-4,SNCA p.A30P Bld/T Ql
21737-2,SNCA p.A53T Bld/T Ql
21738-0,SNCA gene Mut Tested Bld/T
21739-8,TP53 gene Mut Anl Bld/T
21740-6,TRAF3 gene Mut Anl Bld/T
2174-1,Cystathionin Ur-mCnc
21741-4,TRAF3 gene Mut Tested Bld/T
21742-2,WT1 gene Mut Anl Bld/T
21743-0,WT1 gene Mut Tested Bld/T
21744-8,CCND1 gene Rear Bld/T Ql
21745-5,Deprecated BCL2 gene Rear Bld/T Ql
21746-3,BCL6 gene Rear Bld/T Ql
21747-1,HC gene Rear Bld/T Ql
21748-9,Kappa LC gene Rear Bld/T Ql
21749-7,Lambda LC gene Rear Bld/T Ql
21750-5,MYC gene Rear Bld/T Ql
21751-3,TCRB gene Rear Bld/T Ql
21752-1,TCRD gene Rear Bld/T Ql
21753-9,TCRG gene Rear Bld/T Ql
21754-7,AR gene CAG Rpt Bld/T Ql
21755-4,CACNA1A gene CAG Rpt Bld/T Ql
21756-2,ATN1 gene CAG Rpt Bld/T Ql
21757-0,DMPK gene CTG Rpt Bld/T Ql
2175-8,Cystine Bld Ql
21759-6,FMR1 gene CGG Rpt Bld/T Ql
21760-4,FRAXE gene CGG Rpt Bld/T Ql
21761-2,Deprecated FRAXE gene CGG Rpt Bld/T Ql
21762-0,FXN gene GAA Rpt Bld/T Ql
21763-8,HTT gene CAG Rpt Bld/T Ql
21764-6,MJD gene CAG Rpt Bld/T Ql
21765-3,SCA1 gene CAG Rpt Bld/T Ql
2176-6,Cystine SerPl Ql
21766-1,SCA2 gene CAG Rpt Bld/T Ql
21767-9,SCA7 gene CAG Rpt Bld/T Ql
21768-7,SCA gene Mut Tested Bld/T
21769-5,SCA genes CAG Rpt Bld/T Ql
21770-3,Chr 12 Ts Bld/T Ql
21771-1,Chr 21 Ts Bld/T Ql
21772-9,Chr 7 Ts Bld/T Ql
21773-7,Chr 8 Ts Bld/T Ql
2177-4,Cystine SerPl-mCnc
21774-5,Chr 9 Ts Bld/T Ql
21775-2,"t(1;13)(PAX7,FOXO1) NFr Bld/T"
21776-0,"t(1;19)(PBX1,TCF3) NFr Bld/T"
21777-8,"t(11;14)(CCND1,IGH) NFr Bld/T"
21778-6,"t(11;19)(MLL,MLLT1) NFr Bld/T"
21779-4,"t(11;22)(FLI1,EWSR1) NFr Bld/T"
21780-2,"t(11;22)(WT1,EWSR1) NFr Bld/T"
21781-0,"t(12;16)(DDIT3,FUS) NFr Bld/T"
2178-2,Cystine Ur-mCnc
21782-8,"t(12;21)(ETV6,RUNX1) NFr Bld/T"
21783-6,"t(12;22)(ATF1,EWSR1) NFr Bld/T"
21784-4,"t(14;18)(IGH,BCL2) NFr Bld/T"
21785-1,"t(15;17)(PML,RARA) NFr Bld/T"
21786-9,"t(2;13)(PAX3,FOXO1) NFr Bld/T"
21787-7,"t(2;5)(ALK,NPM1) NFr Bld/T"
21788-5,"t(21;22)(ERG,EWSR1) NFr Bld/T"
21789-3,"t(4;11)(AFF1,MLL) NFr Bld/T"
2179-0,Cystine 24h Ur-mRate
21790-1,"t(5;12)(PDGFRB,ETV6) NFr Bld/T"
21791-9,"t(6;9)(DEK,NUP214) NFr Bld/T"
21792-7,"t(8;14)(MYC,IGH) NFr Bld/T"
21793-5,"t(8;21)(RUNX1T1,RUNX1) NFr Bld/T"
21794-3,"t(9;11)(MLLT3,MLL) NFr Bld/T"
21795-0,"t(9;22)(ABL1,BCR) NFr Bld/T"
21796-8,"t(9;22)(NR4A3,EWSR1) NFr Bld/T"
21797-6,"t(X;18)(SS18,SSX1) NFr Bld/T"
21798-4,"t(X;18)(SS18,SSX2) NFr Bld/T"
21799-2,"t(1;13)(PAX7,FOXO1) Bld/T Ql"
21800-8,"t(1;19)(PBX1,TCF3) Bld/T Ql"
21801-6,"t(11;14)(CCND1,IGH) Bld/T Ql"
21802-4,"t(11;19)(MLL,MLLT1) Bld/T Ql"
21803-2,"t(11;22)(FLI1,EWSR1) Bld/T Ql"
21804-0,"t(11;22)(WT1,EWSR1) Bld/T Ql"
21805-7,"t(12;16)(DDIT3,FUS) Bld/T Ql"
21806-5,"t(12;21)(ETV6,RUNX1) Bld/T Ql"
21807-3,"t(12;22)(ATF1,EWSR1) Bld/T Ql"
2180-8,Cys+Cysteine SerPl-mCnc
21808-1,"t(14;18)(IGH,BCL2) Bld/T Ql"
21809-9,"t(14;18)(IGH,BCL2) Major Bld/T Ql"
21810-7,"t(14;18)(IGH,BCL2) Minor Bld/T Ql"
21811-5,"Deprecated t(15,17) (PML,RARA) Bld/T Ql"
21812-3,"t(2;13)(PAX3,FKHR) Bld/T Ql"
21813-1,"t(2;5)(ALK,NPM1) Bld/T Ql"
21814-9,"t(21;22)(ERG,EWSR1) Bld/T Ql"
21815-6,"t(4;11)(AFF1,MLL) Bld/T Ql"
2181-6,Cystinyl AP Ser-cCnc
21816-4,"t(5;12)(PDGFRB,ETV6) Bld/T Ql"
21817-2,"t(6;9)(DEK,NUP214) Bld/T Ql"
21818-0,"t(8;14)(MYC,IGH) Bld/T Ql"
21819-8,"t(8;21)(RUNX1T1,RUNX1) Bld/T Ql"
21820-6,"t(9;11)(MLLT3,MLL) Bld/T Ql"
21821-4,"t(9;22)(ABL1,BCR) Bld/T Ql"
21822-2,"t(9;22)(ABL1,BCR) Major Bld/T Ql"
21823-0,"t(9;22)(ABL1,BCR) Minor Bld/T Ql"
2182-4,CyB Reduct Amn-cCnc
21824-8,"t(9;22)(NR4A3,EWSR1) Bld/T Ql"
21825-5,"t(X;18)(SS18,SSX1) Bld/T Ql"
21826-3,"t(X;18)(SS18,SSX2) Bld/T Ql"
21827-1,Transmitted record type NAACCR Message
21828-9,Cancer reg NAACCR Message
21829-7,Inst data source Registry Message
21830-5,Version NAACCR Message
21831-3,Unique tumor case ID Cancer
2183-2,CyB5 Reduct Ser-cCnc
21832-1,Coding sys 1970/80/90 Census tract
21833-9,Alternate census tract at cancer Dx
21834-7,Coding sys Census tract Alt
21835-4,Coding sys.current Race
21836-2,Coding sys.original Race
21837-0,Hispanic origin Best Est
21838-8,Ethnicity Computed
21839-6,Derivation method Computed Ethnicity
2184-0,CyC Oxidase Plas-cCnc
21840-4,Sex NAACCR v.11
21841-2,Cancer diagnosis age
21842-0,Birthplace
21843-8,Hx of Usual occupation
21844-6,Hx of Usual industry
21845-3,Source of info Usual Occupation Hx
21846-1,Source of info Usual Industry Hx
21847-9,Usual occupation
21848-7,Usual industry
21849-5,Coding sys Occupation+Industry Hx
21850-3,Family hx of Cancer
21851-1,Address at cancer Dx
21852-9,Census tract certainty 1970/80/90
21853-7,Seq # central.patient Cancer
21854-5,Date first Dx Cancer
21855-2,Primary site Cancer
21856-0,Histology ICD-O-2 Cancer
2185-7,CyC Oxidase Plts-cCnc
21857-8,Behavior ICD-O-2 Cancer
21858-6,Grade Cancer
21859-4,Coding sys.original Cancer site
21860-2,Coding sys.original Cancer morph
21861-0,Dx confirmed by Cancer
21862-8,Source doc used to abstract Cancer
21863-6,Date last screened Cancer
21864-4,Most recent screening result for Cancer
2186-5,CyC Oxidase WBC-cCnc
21865-1,Hospital.reporting Cancer
21866-9,Patient ID.hospital
21867-7,Seq #.hospital Cancer
21868-5,Hospital ID Abstractor
21869-3,Hosp adm 1st contact Cancer
21870-1,Date of inpt adm Cancer
21871-9,Date of inpt disch Cancer
21872-7,Rel between hosp and cancer Dx
2187-3,Cytosol AP SerPl-cCnc
21873-5,Y first seen this hospital for Cancer
21874-3,Presentation at CA Conf
21875-0,CA Conf
21876-8,Surg proc for prime site Cancer
21877-6,Surg proc for reg nodes Cancer
21878-4,Other reg dis at facility most def proc
21879-2,Surg.reg nodes exam most def proc Cancer
218-8,Demeclocycline Islt KB
21880-0,Radiation Rx therapy Cancer
2188-1,Cytosol AP Ur Ql
21881-8,Chemotherapy Rx at facility Cancer
21882-6,Hormone Rx at facility Cancer
21883-4,Transplant Rx at facility Cancer
21884-2,Other Rx at facility Cancer
21885-9,Surgery.not cancer Rx
21886-7,Breast-prostate staging.NAACCR Cancer
21887-5,SEER SS1977 Cancer
21888-3,SS abbreviated at Dx Cancer
21889-1,Size Tumor
21890-9,Extension Cancer
21891-7,EOD Prostate cancer
21892-5,LN involved Cancer
21893-3,Reg LN positive Spec
21894-1,Reg LN examined Spec
21895-8,EOD.NAACCR.old 13 digit Cancer
21896-6,EOD.NAACCR.old 2 digit Cancer
21897-4,EOD.NAACCR.old 4 digit Cancer
21898-2,Version EOD coding sys
2189-9,Cytosol AP Ur-cCnc
21899-0,Primary tumor.pathology Cancer
21900-6,Reg LN.pathology Cancer
21901-4,Distant metastases.pathology Cancer
21902-2,Stg grp.pathology Cancer
21903-0,Descript.pathology Cancer
21904-8,Stager.pathology Cancer
21905-5,Primary tumor.clinical Cancer
21906-3,Reg LN.clinical Cancer
2190-7,DHEA-S Amn-mCnc
21907-1,Distant metastases.clinical Cancer
21908-9,Stg grp.clinical Cancer
21909-7,Descript.clinical Cancer
21910-5,Stager.clinical Cancer
21911-3,Primary tumor.other Cancer
21912-1,Reg LN.other Cancer
21913-9,Distant metastases.other Cancer
21914-7,Stg grp.other Cancer
2191-5,DHEA-S SerPl-mCnc
21915-4,Stager.other Cancer
21916-2,Descript.other Cancer
21917-0,Version TNM Classification
21918-8,Other staging classification Cancer
21919-6,Date 1st positive Bx Cancer
21920-4,Site of distant mets Cancer
21921-2,Pediatric stage Cancer
21922-0,Coding sys used Cancer Ped stage
2192-3,DHEA-S 24h Ur-mRate
21923-8,Pediatric cancer stager
21924-6,Tumor marker Cancer
21925-3,Date 1st surgery Cancer
21926-1,Date 1st radiation Cancer
21927-9,Date 1st chemo Cancer
21928-7,Date 1st hormone Cancer
21929-5,Date 1st BRM Cancer
21930-3,Date 1st other Tx Cancer
2193-1,DHEA SerPl-mCnc
21931-1,Date 1st cancer Rx (any).SEERS
21932-9,Date 1st cancer Rx (any).COC
21933-7,Date non CDS Rx as part of 1st cancer
21934-5,Surgery site.primary Cancer
21935-2,Surgery scope Cancer
21936-0,Surgery.other reg disease Cancer
21937-8,Surgery reg nodes examined Cancer
21938-6,Surgical approach
21939-4,Surg margins cancer invol
21940-2,Surgery reconstruction Cancer
21941-0,Reason for no CDS
21942-8,Non CDS summary
21943-6,Radiation Rx Cancer
21944-4,Lung/Leukemia CNS Rad status Cancer
21945-1,Surgery-radiation sequence Cancer
21946-9,Chemotherapy Rx Cancer
21947-7,Hormone Rx Cancer
21948-5,Biological response modifier Rx Cancer
2194-9,DHEA Ur Ql
21949-3,Other Rx Cancer
21950-1,Reason for no radiation Rx Cancer
21951-9,Reason for no chemotherapy Rx Cancer
21952-7,Reason for no hormone Rx Cancer
21953-5,Coding sys for Rx Cancer
21954-3,Protocol eligibility status Cancer
21955-0,Source protocol patient enrolled Cancer
2195-6,DHEA Ur-mCnc
21956-8,Referred to support services Cancer
21957-6,1st course calc method
21958-4,Reg radiation Rx Dose
21959-2,# radiation Rx
219-6,Demeclocycline Titr SBT
21960-0,Duration 1st episode Radiation Rx
21961-8,Organ target(s) 1st episode Radiation Rx
21962-6,Where performed Radiation Rx
21963-4,Intent of Rx Radiation Rx
2196-4,u DHEA SerPl-mCnc
21964-2,Modality Radiation Rx
21965-9,Completion status Radiation Rx
21966-7,Reg outcomes of Radiation Rx
